time,roll,pitch,yaw
21.0497,2.87701,-109.252,-39.6654
42.069,2.87701,-109.252,-39.6654
63.0144,2.87701,-109.252,-39.6654
84.3211,2.87701,-109.252,-39.6654
104.723,2.87701,-109.252,-39.6654
124.702,2.87701,-109.252,-39.6654
146.001,2.86815,-109.253,-39.6575
166.311,2.86815,-109.253,-39.6575
187.284,2.86815,-109.253,-39.6575
208.572,2.86815,-109.253,-39.6575
228.857,2.86513,-109.25,-39.6594
238.986,2.87701,-109.252,-39.6654
259.374,2.87062,-109.268,-39.6598
280.625,2.87701,-109.252,-39.6654
301.685,2.87062,-109.268,-39.6598
322.805,2.87062,-109.268,-39.6598
344.944,2.87062,-109.268,-39.6598
364.924,2.87062,-109.268,-39.6598
387.012,2.87062,-109.268,-39.6598
407.436,2.87062,-109.268,-39.6598
427.868,2.87062,-109.268,-39.6598
448.055,2.87062,-109.268,-39.6598
458.004,2.87062,-109.268,-39.6598
479.156,2.87062,-109.268,-39.6598
500.091,2.87062,-109.268,-39.6598
521.198,2.87062,-109.268,-39.6598
542.428,2.87062,-109.268,-39.6598
562.639,2.87062,-109.268,-39.6598
582.715,2.87062,-109.268,-39.6598
603.755,2.87062,-109.268,-39.6598
624.916,2.87062,-109.268,-39.6598
646.948,2.87062,-109.268,-39.6598
667.075,2.87062,-109.268,-39.6598
678.141,2.87062,-109.268,-39.6598
699.411,2.87364,-109.271,-39.6579
719.678,2.87364,-109.271,-39.6579
739.954,2.87364,-109.271,-39.6579
760.987,2.86478,-109.272,-39.65
781.19,2.86478,-109.272,-39.65
801.398,2.86478,-109.272,-39.65
822.545,2.86726,-109.286,-39.6523
843.532,2.86726,-109.286,-39.6523
863.858,2.86726,-109.286,-39.6523
883.932,2.86726,-109.286,-39.6523
905.147,2.86478,-109.272,-39.65
925.584,2.86177,-109.269,-39.6519
945.748,2.87062,-109.268,-39.6598
966.899,2.86177,-109.269,-39.6519
987.275,2.87364,-109.271,-39.6579
1008.61,2.87364,-109.271,-39.6579
1018.65,2.87364,-109.271,-39.6579
1039.64,2.87611,-109.285,-39.6602
1060.72,2.87611,-109.285,-39.6602
1081.64,2.87342,-109.282,-39.6417
1103.06,2.87342,-109.282,-39.6417
1124.23,2.88228,-109.281,-39.6496
1144.26,2.87342,-109.282,-39.6417
1165.25,2.87342,-109.282,-39.6417
1186.24,2.86793,-109.264,-39.6413
1207.32,2.87342,-109.282,-39.6417
1227.52,2.86793,-109.264,-39.6413
1247.62,2.86177,-109.269,-39.6519
1268.96,2.86793,-109.264,-39.6413
1279.81,2.86793,-109.264,-39.6413
1299.82,2.86793,-109.264,-39.6413
1321.1,2.86793,-109.264,-39.6413
1341.91,2.86793,-109.264,-39.6413
1362.76,2.86793,-109.264,-39.6413
1383.7,2.86177,-109.269,-39.6519
1404.83,2.85875,-109.266,-39.6538
1425.17,2.86492,-109.261,-39.6432
1446.38,2.86492,-109.261,-39.6432
1467.48,2.86492,-109.261,-39.6432
1488.58,2.86492,-109.261,-39.6432
1508.86,2.85875,-109.266,-39.6538
