time,roll,pitch,yaw
1.9559418310080554336309432983398437500000000000,-2.86126,4.90675,-11.07
1.9559425577202543616294860839843750000000000000,-2.87593,4.9281,-11.0923
1.9559445914108540862798690795898437500000000000,-2.91239,4.94778,-11.0906
1.9559467091515116393566131591796875000000000000,-2.9358,4.95733,-11.0779
1.9559487420721869915723800659179687500000000000,-2.93587,4.96927,-11.0544
1.9559507514139339327812194824218750000000000000,-2.93475,4.95782,-11.0547
1.9559527747105568647384643554687500000000000000,-2.92275,4.9472,-11.0669
1.9559548948251470923423767089843750000000000000,-2.92319,4.93502,-11.1021
1.9559558910108141601085662841796875000000000000,-2.94455,4.90896,-11.1238
1.9559580140447005629539489746093750000000000000,-2.95483,4.89643,-11.1237
1.9559601231237109750509262084960937500000000000,-2.95456,4.89719,-11.1132
1.9559621674649283289909362792968750000000000000,-2.93296,4.92273,-11.0903
1.9559642638081092387437820434570312500000000000,-2.89994,4.94934,-11.0678
1.9559662805924568325281143188476562500000000000,-2.86692,4.97593,-11.0453
1.9559683111071188002824783325195312500000000000,-2.82084,4.99236,-11.0119
1.9559703375475991517305374145507812500000000000,-2.75536,5.00259,-10.8188
1.9559723995008327066898345947265625000000000000,-2.60913,4.98241,-10.1804
1.9559745324474927037954330444335937500000000000,-2.38433,4.87292,-8.97042
1.9559765612619057297706604003906250000000000000,-2.14479,4.64249,-7.25886
1.9559785966527547687292098999023437500000000000,-1.98652,4.30492,-5.203
1.9559806906540825963020324707031250000000000000,-1.91499,3.94054,-2.98479
1.9559827109030891209840774536132812500000000000,-1.81934,3.55512,-0.620058
1.9559848166457612067461013793945312500000000000,-1.62873,3.10213,2.09642
1.9559868206301189959049224853515625000000000000,-1.34263,2.56102,5.1212
1.9559889206625197082757949829101562500000000000,-1.10277,1.9289,8.19769
1.9559900077634025365114212036132812500000000000,-1.01209,1.18209,11.248
1.9559921220714811235666275024414062500000000000,-1.13589,0.337491,14.1691
1.9559942623003412038087844848632812500000000000,-1.49214,-0.531965,16.8546
1.9559965118905168026685714721679687500000000000,-1.9939,-1.40511,19.2761
1.9559985127951778471469879150390625000000000000,-2.57663,-2.26421,21.5022
1.9560005690060600638389587402343750000000000000,-3.2332,-3.14264,23.5995
1.9560025852450445294380187988281250000000000000,-3.91825,-4.02261,25.7239
1.9560047021516174077987670898437500000000000000,-4.62432,-4.90297,27.9329
1.9560068145669657737016677856445312500000000000,-5.38116,-5.7989,30.2015
1.9560089093702983111143112182617187500000000000,-6.1934,-6.67424,32.516
1.9560099232000615447759628295898437500000000000,-7.07823,-7.52212,34.7994
